Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
57	25	0	0.86390088	101314.36	101317.741	101314.36	101319.497	4.31043885	0	0	0	19722	0	0	3
58	25	0	0.879057036	101314.085	101317.587	101314.085	101319.497	4.34630131	0	0	0	19726.3	0	0	3
59	26	0	0.894213192	101313.901	101317.433	101313.901	101319.497	4.38859997	0	0	0	19710.3	0	0	3
60	26	0	0.909369347	101313.757	101317.277	101313.757	101319.497	4.44080878	0	0	0	19718.3	0	0	3
61	27	0	0.924525503	101313.644	101317.118	101313.644	101319.497	4.50533155	0	0	0	19699.9	0	0	3
62	27	0	0.939681659	101313.557	101316.954	101313.557	101319.497	4.5824664	0	0	0	19713.3	0	0	3
63	27	0	0.954837815	101313.538	101316.788	101313.538	101319.497	4.67256017	0	0	0	19696	0	0	3
64	28	0	0.969993971	101313.583	101316.618	101313.538	101319.497	4.77704088	0	0	0	19712.1	0	0	3
65	28	0	0.985150126	101313.689	101316.446	101313.538	101319.497	4.89176861	0	0	0	19697.7	0	0	3
66	29	0	1.00030628	101313.959	101316.278	101313.538	101319.478	4.92156801	0.324461686	0	0	19716	0	0	3
67	29	0	1.01546244	101314.385	101316.123	101313.538	101319.452	5.04205444	0.324461686	0	0	19716.9	0	0	3
68	29	0	1.03061859	101314.909	101315.986	101313.538	101319.452	5.07514544	0.324461686	0	0	19726.4	0	0	3
69	30	0	1.04577475	101315.505	101315.867	101313.538	101319.448	5.14177696	0.324461686	0	0	19762.1	0	0	3
70	30	0	1.06093091	101316.132	101315.766	101313.538	101319.374	5.11483293	0.324461686	0	0	19773.9	0	0	3
71	31	0	1.07608706	101316.739	101315.686	101313.538	101319.13	5.10666409	0.324461686	0	0	19808.4	0	0	3
72	31	0	1.09124322	101317.242	101315.629	101313.538	101318.857	5.00827167	0.324461686	0	0	19815.3	0	0	3
73	32	0	1.10639937	101317.618	101315.592	101313.538	101318.545	4.91892617	0.324461686	0	0	19846.8	0	0	3
74	32	0	1.12155553	101317.886	101315.572	101313.538	101318.267	4.72916744	0.324461686	0	0	19861.9	0	0	3
75	32	0	1.13671168	101318.03	101315.565	101313.538	101318.03	4.49233253	0.324461686	0	0	19887.4	0	0	3
76	33	0	1.15186784	101318.019	101315.565	101313.538	101318.03	4.41640772	0.324461686	0	0	19874.2	0	0	3
77	33	0	1.167024	101317.961	101315.57	101313.538	101318.03	4.247589	0.324461686	0	0	19887.7	0	0	3
78	34	0	1.18218015	101317.898	101315.578	101313.538	101318.03	4.05338672	0.324461686	0	0	19890.9	0	0	3
79	34	0	1.19733631	101317.829	101315.595	101313.538	101318.03	3.86994259	0.324461686	0	0	19899.1	0	0	3
80	34	0	1.21249246	101317.699	101315.622	101313.538	101318.03	3.67614005	0.324461686	0	0	19883	0	0	3
81	35	0	1.22764862	101317.527	101315.653	101313.538	101318.03	3.48938422	0.324461686	0	0	19893.5	0	0	3
82	35	0	1.24280477	101317.37	101315.69	101313.538	101318.03	3.30139402	0.324461686	0	0	19878	0	0	3
83	36	0	1.25796093	101317.248	101315.731	101313.538	101318.03	3.12683442	0.324461686	0	0	19898.5	0	0	3
84	36	0	1.27311709	101317.214	101315.778	101313.538	101318.03	2.95555417	0.324461686	0	0	19877.2	0	0	3
85	36	0	1.28827324	101317.235	101315.832	101313.538	101318.03	2.79085701	0.324461686	0	0	19890.7	0	0	3
86	37	0	1.3034294	101317.266	101315.891	101313.538	101318.03	2.63520667	0.324461686	0	0	19859.1	0	0	3
87	37	0	1.31858555	101317.309	101315.958	101313.538	101318.03	2.48261785	0.324461686	0	0	19858.8	0	0	3
88	38	0	1.33374171	101317.353	101316.032	101313.538	101318.03	2.32863732	0.324461686	0	0	19855.8	0	0	3
89	38	0	1.34889787	101317.355	101316.115	101313.538	101318.03	2.17680831	0.324461686	0	0	19835	0	0	3
90	38	0	1.36405402	101317.276	101316.204	101313.538	101318.03	2.0226213	0.324461686	0	0	19827.4	0	0	3
91	39	0	1.37921018	101317.165	101316.297	101313.538	101318.03	1.86886	0.324461686	0	0	19817.2	0	0	3
92	39	0	1.39436633	101317.037	101316.392	101313.538	101318.03	1.71227999	0.324461686	0	0	19813.8	0	0	3
93	40	0	1.40952249	101316.862	101316.486	101313.538	101318.03	1.55301351	0.324461686	0	0	19789.8	0	0	3
94	40	0	1.42467864	101316.671	101316.578	101313.538	101318.03	1.38899291	0.324461686	0	0	19791.9	0	0	3
95	40	0	1.4398348	101316.5	101316.667	101313.538	101318.03	1.22297446	0.324461686	0	0	19775	0	0	3
96	41	0	1.45499096	101316.402	101316.754	101313.583	101318.03	1.18921685	0.324461686	0	0	19773.5	0	0	3
97	41	0	1.47014711	101316.441	101316.84	101313.689	101318.03	1.27582885	0.324461686	0	0	19777.5	0	0	3
98	42	0	1.48530327	101316.53	101316.926	101313.959	101318.03	1.36191256	0.324461686	0	0	19777.4	0	0	3
99	42	0	1.50045942	101316.664	101317.008	101314.385	101318.03	1.44388629	0.324461686	0	0	19780.6	0	0	3
100	42	0	1.51561558	101316.733	101317.08	101314.909	101318.03	1.51505276	0.324461686	0	0	19775.7	0	0	3
101	43	0	1.53077173	101316.722	101317.135	101315.505	101318.03	1.56999497	0.324461686	0	0	19780.9	0	0	3
102	44	0	1.54592789	101316.662	101317.17	101316.132	101318.03	1.60506143	0.324461686	0	0	19779.8	0	0	3
