Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
54	24	0	0.818432413	293.200015	293.200013	293.200006	293.200015	9.77091003e-06	0	0	0	0.00643456	0	0	3
55	24	0	0.833588569	293.200015	293.200013	293.200006	293.200015	9.21377301e-06	0	0	0	0.00642616	0	0	3
56	25	0	0.848744724	293.200016	293.200013	293.200007	293.200016	8.48859759e-06	0	0	0	0.00642938	0	0	3
57	25	0	0.86390088	293.200016	293.200014	293.200008	293.200016	7.66512505e-06	0	0	0	0.00643379	0	0	3
58	25	0	0.879057036	293.200016	293.200014	293.200009	293.200016	6.54804421e-06	0	0	0	0.0064299	0	0	3
59	26	0	0.894213192	293.200016	293.200014	293.20001	293.200016	5.63892451e-06	0	0	0	0.00642404	0	0	3
60	26	0	0.909369347	293.200016	293.200014	293.200011	293.200016	5.01185161e-06	0	0	0	0.00643728	0	0	3
61	27	0	0.924525503	293.200016	293.200014	293.200011	293.200016	4.59399502e-06	0	0	0	0.00641487	0	0	3
62	27	0	0.939681659	293.200016	293.200014	293.200011	293.200016	4.3098878e-06	0	0	0	0.00641828	0	0	3
63	27	0	0.954837815	293.200016	293.200015	293.200012	293.200016	3.99310045e-06	0	0	0	0.00641329	0	0	3
64	28	0	0.969993971	293.200016	293.200015	293.200012	293.200016	3.69933747e-06	0	0	0	0.00641879	0	0	3
65	28	0	0.985150126	293.200016	293.200015	293.200012	293.200016	3.41684887e-06	0	0	0	0.00641038	0	0	3
66	29	0	1.00030628	293.200016	293.200015	293.200013	293.200016	3.11444524e-06	2.93200016e-06	0	0	0.00641056	0	0	3
67	29	0	1.01546244	293.200016	293.200015	293.200013	293.200016	2.83633528e-06	2.93200016e-06	0	0	0.0064044	0	0	3
68	29	0	1.03061859	293.200016	293.200015	293.200013	293.200016	2.52337264e-06	2.93200016e-06	0	0	0.0064032	0	0	3
69	30	0	1.04577475	293.200016	293.200015	293.200014	293.200016	2.24182168e-06	2.93200016e-06	0	0	0.00640095	0	0	3
70	30	0	1.06093091	293.200016	293.200015	293.200014	293.200016	1.9990182e-06	2.93200016e-06	0	0	0.00640237	0	0	3
71	31	0	1.07608706	293.200016	293.200015	293.200014	293.200016	1.76468035e-06	2.93200016e-06	0	0	0.00639558	0	0	3
72	31	0	1.09124322	293.200016	293.200015	293.200014	293.200016	1.56185735e-06	2.93200016e-06	0	0	0.00640217	0	0	3
73	32	0	1.10639937	293.200016	293.200015	293.200014	293.200016	1.36652062e-06	2.93200016e-06	0	0	0.00639291	0	0	3
74	32	0	1.12155553	293.200016	293.200015	293.200015	293.200016	1.20416502e-06	2.93200016e-06	0	0	0.00640908	0	0	3
75	32	0	1.13671168	293.200015	293.200015	293.200015	293.200016	1.07463779e-06	2.93200015e-06	0	0	0.00639966	0	0	3
76	33	0	1.15186784	293.200015	293.200015	293.200015	293.200016	9.86991722e-07	2.93200015e-06	0	0	0.00640242	0	0	3
77	33	0	1.167024	293.200015	293.200016	293.200015	293.200016	8.91491425e-07	2.93200015e-06	0	0	0.00639002	0	0	3
78	34	0	1.18218015	293.200015	293.200016	293.200015	293.200016	8.05246032e-07	2.93200015e-06	0	0	0.00640548	0	0	3
79	34	0	1.19733631	293.200015	293.200016	293.200015	293.200016	7.13633256e-07	2.93200015e-06	0	0	0.00639198	0	0	3
80	34	0	1.21249246	293.200015	293.200016	293.200015	293.200016	6.81068627e-07	2.93200015e-06	0	0	0.00640225	0	0	3
81	35	0	1.22764862	293.200015	293.200016	293.200015	293.200016	6.69026633e-07	2.93200015e-06	0	0	0.00639818	0	0	3
82	35	0	1.24280477	293.200015	293.200016	293.200015	293.200016	6.91744447e-07	2.93200015e-06	0	0	0.00640859	0	0	3
83	36	0	1.25796093	293.200015	293.200016	293.200015	293.200016	7.00910846e-07	2.93200015e-06	0	0	0.00639629	0	0	3
84	36	0	1.27311709	293.200015	293.200016	293.200015	293.200016	7.34811408e-07	2.93200015e-06	0	0	0.00640847	0	0	3
85	36	0	1.28827324	293.200015	293.200015	293.200015	293.200016	7.56640077e-07	2.93200015e-06	0	0	0.00639762	0	0	3
86	37	0	1.3034294	293.200015	293.200015	293.200015	293.200016	7.66064659e-07	2.93200015e-06	0	0	0.00640582	0	0	3
87	37	0	1.31858555	293.200015	293.200015	293.200015	293.200016	7.73413433e-07	2.93200015e-06	0	0	0.00642066	0	0	3
88	38	0	1.33374171	293.200015	293.200015	293.200015	293.200016	7.73413433e-07	2.93200015e-06	0	0	0.00640722	0	0	3
89	38	0	1.34889787	293.200015	293.200015	293.200015	293.200016	7.73413433e-07	2.93200015e-06	0	0	0.00640038	0	0	3
90	38	0	1.36405402	293.200015	293.200015	293.200015	293.200016	7.73413433e-07	2.93200015e-06	0	0	0.00640522	0	0	3
91	39	0	1.37921018	293.200015	293.200015	293.200015	293.200016	7.73413433e-07	2.93200015e-06	0	0	0.00640787	0	0	3
92	39	0	1.39436633	293.200015	293.200015	293.200015	293.200016	7.73413433e-07	2.93200015e-06	0	0	0.00640996	0	0	3
